Rank,Title,Gross Earnings,Number of Theaters,Release Date,Distributor
132,Hocus Pocus30th Anniversary re-release,4929004,1430,Oct 6,Walt Disney Studios Motion Pictures
133,You Hurt My Feelings,4830788,912,May 26,A24
134,Kandahar,4813132,2105,May 26,Open Road Films (II)
135,Golda,4801781,883,Aug 25,Bleecker Street Media
136,It Lives Inside,4675092,2005,Sep 22,Neon
137,Hypnotic,4500169,2118,May 12,Ketchup Entertainment
138,Stop Making Sense2023 Re-release,4403500,786,Sep 22,-
139,Marlowe,4350243,2281,Feb 15,Open Road Films (II)
140,The Amazing Maurice,4303645,1717,Feb 3,Viva Pictures
141,Mummies,4275970,384,Feb 24,Warner Bros.
142,Theater Camp,4009945,555,Jul 14,Searchlight Pictures
143,Ponniyin Selvan: Part Two,3813000,0,Apr 28,-
144,Anatomy of a Fall,3691578,583,Oct 13,-
145,Left Behind: Rise of the Antichrist,3649422,1407,Jan 26,Fathom Events
146,The Journey: A Music Special from Andrea Bocelli,3574915,1074,Apr 2,Fathom Events
147,Chevalier,3541159,1281,Apr 21,Walt Disney Studios Motion Pictures
148,Mafia Mamma,3496761,2002,Apr 14,Bleecker Street Media
149,The Wandering Earth II,3444487,172,Jan 22,Well Go USA Entertainment
150,A Thousand and One,3400020,926,Mar 31,Focus Features
151,Violent Night,3278955,3723,Dec 2,Universal Pictures
152,What Happens Later,3273895,1492,Nov 3,Bleecker Street Media
153,2023 Oscar Nominated Short Films: Live Action,3025631,357,Feb 17,ShortsTV
154,Living,2984305,644,Dec 23,Sony Pictures Classics
155,Jurassic Park2023 Re-release (30th Anniversary),2970355,1224,Aug 25,Universal Pictures
156,Ferrari,2876285,2330,Dec 25,Neon
157,The Menu,2779574,3228,Nov 18,Searchlight Pictures
158,Tu Jhoothi Main Makkaar,2503604,400,Mar 8,Yash Raj Films USA Inc.
159,Come Out in Jesus Name,2500574,1047,Mar 13,Fathom Events
160,The Miracle Club,2377438,677,Jul 14,Sony Pictures Entertainment (SPE)
161,A Good Person,2210465,687,Mar 24,United Artists Releasing
162,Moving On,2136832,794,Mar 17,Roadside Attractions
163,Skinamarink,2052272,809,Jan 13,IFC Films
164,Die Hard2023 Re-release,2048453,1355,Dec 8,Twenty First Century Entertainment
165,Jules,1924922,780,Aug 11,Bleecker Street Media
166,Somewhere in Queens,1802442,602,Apr 21,Roadside Attractions
167,The Marsh King's Daughter,1792905,1055,Nov 3,Lions Gate Films
168,Oldboy2023 Re-release,1750719,250,Aug 16,-
169,Winnie the Pooh: Blood and Honey,1750639,1652,Feb 15,Fathom Events
170,Fear,1735359,974,Jan 27,Hidden Empire Film Group (HEFG)
171,Lost in the Stars,1721446,0,Jul 7,CMC Pictures
172,Creation of the Gods I: Kingdom of Storms,1686246,115,Sep 22,Well Go USA Entertainment
173,Polite Society,1595585,927,Apr 28,Focus Features
174,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1588491,1473,Jan 20,Crunchyroll
175,The Banshees of Inisherin,1555301,1205,Oct 21,Searchlight Pictures
176,The Quiet Girl,1500014,244,Feb 24,Neon
177,BlackBerry,1476598,449,May 12,IFC Films
178,Spirited Away2023 Re-release (Live on Stage),1455081,1046,Apr 23,Fathom Events
179,Dicks: The Musical,1453012,635,Oct 6,A24
180,Eileen,1415384,558,Dec 1,-
181,Maybe I Do,1293722,465,Jan 27,Vertical Entertainment
182,The First Slam Dunk,1291869,581,Jul 28,GKIDS
183,Billie Eilish Live at the O2,1290000,600,Jan 27,Trafalgar Releasing
184,The Big Lebowski,1266945,1235,Mar 6,Gramercy Pictures (I)
185,Back to the Future,1240710,1550,Jul 3,Universal Pictures
186,Tár,1193875,1090,Oct 7,Focus Features
187,The Lost King,1189307,753,Mar 24,IFC Films
188,The Lord of the Rings: The Return of the King2023 Re-release (20th Anniversary),1176085,1107,Apr 13,Fathom Events
189,Camp Hideout,1125010,848,Sep 15,Roadside Attractions
190,Strange World,1120039,4174,Nov 23,Walt Disney Studios Motion Pictures
191,Close,1100113,233,Jan 27,A24
192,Emily,1097067,579,Feb 17,Bleecker Street Media
193,Knights of the Zodiac,1090155,588,May 12,-
194,Broker,1001892,271,Dec 23,Neon
195,Showing Up,972074,115,Apr 7,A24
196,Inside,918415,357,Mar 17,Focus Features
197,American Fiction,913771,40,Dec 15,Metro-Goldwyn-Mayer (MGM)
198,The Roundup: No Way Out,909411,41,Jun 2,Capelight Pictures
199,The Grinch,857560,4141,Nov 9,Universal Pictures
200,Fool's Paradise,855173,794,May 12,Roadside Attractions
